match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8752080850,7354869255,False,1774974220,0,14,13,22,1,183,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752079070,7354867023,False,1774974141,0,14,13,23,1,182,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752078943,7354867005,False,1774974136,0,14,13,71,1,381,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752073875,7354861515,False,1774973915,0,14,13,15,1,185,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752073737,7354861630,False,1774973905,0,4,1,15,1,182,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752073175,7354861673,False,1774973886,0,14,13,31,1,227,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752070429,7354858574,False,1774973770,0,14,13,22,1,181,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752069380,7354858878,False,1774973725,0,14,13,45,1,273,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752069103,7354868275,True,1774973710,381,0,23,34,6,185,"[8, 79, 47, 112, 84]","[45, 7, 74, 44, 57]"
8752068757,7354857335,False,1774973690,0,4,1,41,1,236,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752067192,7354867447,True,1774973625,381,0,23,35,1,122,"[32, 31, 121, 104, 77]","[93, 64, 16, 69, 25]"
8752065710,7354865450,True,1774973566,395,0,23,43,5,232,"[114, 88, 21, 45, 34]","[68, 28, 135, 17, 107]"
8752065111,7354854132,False,1774973545,0,14,13,45,1,182,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752065055,7354853829,False,1774973535,0,4,1,41,1,236,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752064619,7354869168,True,1774973516,423,0,23,23,4,151,"[5, 84, 8, 42, 86]","[74, 114, 25, 104, 110]"
8752064617,7354864719,False,1774973515,423,0,23,62,5,232,"[21, 94, 48, 93, 92]","[91, 128, 35, 25, 97]"
8752062945,7354866043,False,1774973440,454,0,23,54,2,271,"[19, 74, 82, 113, 34]","[120, 64, 50, 63, 137]"
8752062714,7354867321,True,1774973440,609,0,23,34,2,185,"[5, 48, 53, 35, 14]","[71, 27, 44, 123, 84]"
8752062388,7354862872,False,1774973426,302,7,22,43,3,121,"[129, 87, 10, 100, 84]","[15, 22, 35, 30, 70]"
8752062211,7354868008,True,1774973420,656,0,23,55,3,181,"[2, 59, 10, 41, 35]","[6, 93, 33, 37, 56]"
8752061749,7354866778,True,1774973401,618,0,23,14,2,184,"[13, 86, 23, 56, 54]","[37, 113, 74, 105, 35]"
8752061712,7354867669,False,1774973396,664,0,23,54,5,223,"[79, 60, 84, 48, 62]","[93, 90, 13, 64, 135]"
8752060108,7354867030,True,1774973330,509,7,22,71,3,121,"[87, 129, 14, 39, 8]","[26, 145, 111, 38, 15]"
8752059198,7354865371,True,1774973285,653,0,23,25,4,271,"[105, 39, 110, 31, 126]","[11, 14, 86, 38, 5]"
8752059156,7354867812,False,1774973276,642,7,22,34,2,273,"[30, 27, 38, 70, 90]","[35, 32, 80, 86, 26]"
8752059129,7354861905,False,1774973290,494,0,23,25,2,272,"[19, 9, 84, 70, 59]","[72, 74, 94, 2, 26]"
8752058249,7354869447,True,1774973250,876,0,23,21,3,193,"[35, 71, 82, 48, 68]","[72, 20, 110, 84, 101]"
8752057913,7354869579,True,1774973235,914,0,23,54,6,274,"[100, 7, 22, 37, 6]","[93, 111, 61, 72, 104]"
8752057819,7354865062,True,1774973205,696,0,23,25,1,153,"[71, 30, 26, 84, 44]","[12, 4, 59, 35, 31]"
8752057790,7354847221,False,1774973230,0,4,1,53,1,227,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
8752057559,7354867473,True,1774973225,868,0,23,75,2,144,"[54, 126, 129, 26, 6]","[50, 97, 48, 98, 131]"
8752056563,7354868494,True,1774973175,890,0,23,62,4,273,"[49, 29, 90, 50, 126]","[22, 42, 7, 41, 86]"
8752056456,7354869562,True,1774973176,971,0,23,35,7,187,"[42, 35, 54, 37, 30]","[49, 137, 40, 63, 8]"
8752055999,7354865693,False,1774973145,613,7,22,22,3,191,"[42, 5, 47, 31, 114]","[64, 54, 30, 126, 2]"
8752055512,7354867184,True,1774973136,933,0,23,14,1,181,"[15, 74, 91, 119, 6]","[86, 93, 80, 60, 110]"
8752055443,7354859345,False,1774973141,446,1,21,75,2,274,[43],[45]
8752055402,7354866221,True,1774973135,843,0,23,13,1,274,"[99, 44, 15, 47, 11]","[145, 10, 91, 95, 81]"
8752055289,7354868866,False,1774973125,989,0,23,23,4,274,"[63, 56, 123, 14, 75]","[61, 27, 110, 70, 145]"
8752055275,7354868749,False,1774973130,975,0,23,42,2,184,"[41, 73, 45, 35, 17]","[145, 18, 20, 83, 71]"
8752055169,7354866376,True,1774973125,782,7,22,25,2,184,"[21, 137, 50, 136, 105]","[30, 6, 17, 86, 31]"
8752054989,7354867739,False,1774973115,944,0,23,44,2,381,"[74, 18, 42, 120, 41]","[9, 44, 35, 26, 104]"
8752054780,7354866184,True,1774973096,881,0,23,15,2,274,"[14, 48, 35, 30, 27]","[22, 74, 77, 7, 23]"
8752054545,7354857658,True,1774973090,482,0,23,51,1,181,"[20, 18, 14, 104, 26]","[15, 21, 85, 61, 42]"
8752054398,7354868369,True,1774973090,1015,0,23,43,1,185,"[71, 6, 30, 86, 35]","[109, 3, 129, 17, 5]"
8752054339,7354868967,False,1774973086,967,7,3,44,6,223,"[87, 96, 8, 126, 5]","[119, 2, 21, 43, 72]"
8752054219,7354868440,False,1774973080,1020,0,23,41,4,183,"[39, 10, 9, 112, 7]","[54, 43, 29, 88, 14]"
8752054217,7354866542,False,1774973076,928,0,23,53,6,181,"[75, 71, 104, 18, 17]","[14, 8, 86, 111, 54]"
8752054117,7354860269,False,1774973070,597,0,23,14,2,273,"[110, 104, 1, 44, 11]","[16, 12, 126, 89, 137]"
8752054063,7354866456,True,1774973075,928,0,23,72,2,153,"[102, 68, 88, 35, 29]","[138, 26, 44, 76, 71]"
8752054016,7354867633,False,1774973071,982,0,23,43,4,184,"[44, 27, 71, 84, 11]","[20, 35, 97, 26, 17]"
8752054013,7354868457,True,1774973070,1013,0,23,34,2,121,"[39, 82, 86, 84, 35]","[20, 26, 4, 100, 74]"
8752053953,7354862580,True,1774973041,742,0,23,44,3,185,"[11, 104, 14, 61, 35]","[82, 86, 16, 62, 36]"
8752053877,7354869211,True,1774973046,1067,0,23,52,5,187,"[44, 73, 114, 76, 84]","[1, 27, 80, 22, 14]"
8752053791,7354868853,True,1774973060,1054,0,23,42,4,184,"[35, 71, 126, 65, 19]","[50, 6, 44, 37, 39]"
8752053623,7354864954,True,1774973055,813,0,22,33,5,227,"[35, 40, 15, 110, 54]","[120, 99, 73, 31, 93]"
8752053463,7354860869,False,1774973050,672,0,23,33,4,225,"[40, 73, 26, 54, 46]","[51, 60, 56, 37, 8]"
8752053426,7354868848,True,1774973045,1065,0,23,13,1,181,"[136, 52, 59, 123, 58]","[11, 93, 44, 35, 30]"
8752053340,7354868385,True,1774973045,1045,0,23,32,7,183,"[15, 52, 5, 73, 26]","[97, 66, 7, 36, 14]"
8752053251,7354868704,False,1774973040,1074,0,23,43,1,227,"[79, 14, 1, 42, 22]","[111, 35, 96, 25, 138]"
8752053063,7354869146,True,1774973035,1095,0,23,31,4,182,"[92, 27, 41, 88, 35]","[11, 30, 129, 123, 80]"
8752053060,7354862992,False,1774973035,670,0,23,54,3,182,"[35, 64, 52, 27, 6]","[84, 101, 56, 26, 4]"
8752053040,7354867566,True,1774973035,1026,0,23,14,1,181,"[36, 25, 136, 34, 30]","[12, 110, 70, 56, 26]"
8752053020,7354867623,False,1774973031,1027,0,23,25,2,185,"[34, 41, 89, 55, 35]","[71, 44, 72, 61, 78]"
8752052997,7354869540,True,1774973020,1090,0,23,35,2,153,"[22, 52, 8, 5, 104]","[29, 128, 84, 63, 41]"
8752052926,7354869348,False,1774973030,1098,0,23,42,3,412,"[14, 69, 36, 39, 18]","[25, 128, 86, 50, 56]"
8752052826,7354861085,True,1774973020,695,0,23,24,6,153,"[56, 2, 26, 35, 14]","[8, 13, 37, 86, 80]"
8752052785,7354863766,False,1774973020,841,0,23,33,2,181,"[14, 44, 94, 26, 71]","[54, 64, 5, 42, 30]"
8752052784,7354869039,True,1774973020,1098,0,23,55,5,181,"[12, 74, 83, 104, 9]","[73, 13, 86, 65, 121]"
8752052661,7354864191,True,1774973016,866,0,23,12,1,185,"[52, 86, 90, 63, 1]","[18, 74, 26, 47, 8]"
8752052635,7354869214,False,1774973015,1094,0,23,54,2,186,"[71, 86, 10, 22, 111]","[37, 97, 8, 84, 93]"
8752052614,7354867459,False,1774973016,1035,0,23,24,5,193,"[35, 6, 19, 28, 5]","[61, 38, 17, 71, 14]"
8752052574,7354868827,True,1774973010,1101,0,23,52,7,152,"[100, 1, 54, 40, 104]","[70, 63, 108, 39, 83]"
8752052562,7354868360,False,1774973010,1082,0,23,31,3,185,"[62, 59, 11, 71, 86]","[31, 28, 9, 50, 89]"
8752052561,7354867702,False,1774973011,1041,0,23,51,4,181,"[14, 67, 119, 43, 37]","[6, 45, 15, 20, 44]"
8752052533,7354868965,False,1774973011,1116,0,23,45,3,274,"[98, 121, 6, 44, 14]","[29, 101, 74, 11, 8]"
8752052475,7354868567,False,1774973006,1105,0,23,31,3,184,"[40, 63, 14, 74, 21]","[7, 84, 44, 5, 56]"
8752052364,7354868707,True,1774973000,1107,0,23,44,5,227,"[29, 35, 7, 6, 37]","[8, 26, 87, 104, 101]"
8752052280,7354867322,False,1774973000,1041,0,23,42,2,182,"[80, 79, 59, 36, 14]","[75, 60, 97, 105, 83]"
8752052233,7354866936,True,1774973000,1025,0,23,33,4,232,"[86, 22, 1, 47, 42]","[14, 41, 37, 6, 30]"
8752052227,7354867150,True,1774973000,1045,0,23,51,1,191,"[30, 52, 33, 7, 12]","[136, 129, 89, 35, 26]"
8752052175,7354868923,True,1774972995,1131,0,23,61,6,182,"[104, 54, 111, 52, 62]","[129, 68, 102, 93, 7]"
8752052169,7354865079,True,1774972980,939,0,23,62,3,227,"[108, 19, 35, 14, 67]","[136, 63, 36, 41, 88]"
8752052152,7354868289,True,1774972995,1091,0,23,41,3,181,"[15, 50, 5, 19, 93]","[86, 56, 41, 55, 26]"
8752052123,7354869396,False,1774972995,1137,0,23,45,5,183,"[111, 32, 92, 84, 26]","[44, 99, 128, 91, 96]"
